id,pool,type,text,details,config
a1r7,core,jobSelection,Month one as Alex. Rent is due and bills are looming. Two gigs are ready if Alex commits.,,"{""jobGroup"":""first-month-a"",""next"":""b4m2.html""}"
d8k3,core,jobSelection,Alex can reboot their career this month by either managing inventory or testing apps overnight.,,"{""jobGroup"":""first-month-b"",""next"":""b4m2.html""}"
b4m2,core,static,The employer portal is asking for a government ID upload before payroll will run.,Declining only delays everything—modern workplaces expect verification.,"{""choices"":[{""label"":""Submit the documents"",""next"":""c7t9.html"",""idService"":""WorkGate HR""},{""label"":""Decline (for now)"",""next"":""c7t9.html"",""requireModal"":""It would be nice to skip, but Alex has to verify with the employer to stay paid.""}]}"
c7t9,core,hobbyStarter,Alex needs a recurring joy. Streaming costs {{streamingCost}}/mo while a bowling league runs {{bowlingCost}}/mo.,Both would soften the edges of the week in different ways.,"{""options"":[{""key"":""streaming"",""label"":""Pick the streaming bundle"",""next"":""d2q5.html"",""costRange"":[12,22],""happinessRange"":[1,3],""hobby"":{""hobbyId"":""streaming"",""costLabel"":""Stream bundle subscription"",""happyLabel"":""Weekly story binge"",""provider"":""StreamDeck"",""requiresId"":true}},{""key"":""bowling"",""label"":""Join the bowling league"",""next"":""d2q5.html"",""costRange"":[30,45],""happinessRange"":[2,4],""hobby"":{""hobbyId"":""bowling"",""costLabel"":""League dues"",""happyLabel"":""League friends"",""provider"":""City Lanes"",""requiresId"":false}}]}"
d2q5,core,incidentChoice,{{story}},Alex can throw money at the problem to soften the blow or push through and absorb the emotional hit.,"{""dataSource"":""incidentEvents"",""next"":""e5v1.html""}"
e5v1,core,static,Alex is tired of eating dinner alone. Is it better to meet people face-to-face or download an app?,,"{""choices"":[{""label"":""Meet people in person"",""next"":""g6k8.html"",""meta"":{""setDatingMethod"":""inperson""}},{""label"":""Download an app"",""next"":""f9h3.html"",""meta"":{""setDatingMethod"":""app""}}]}"
f9h3,core,datingApp,{{app}} requires ID verification before Alex can message anyone.,,"{""apps"":[""HeartMatch"",""Kindred"",""PulseDate""],""next"":""g6k8.html""}"
g6k8,core,relationshipOutcome,,,"{""successTextApp"":""Alex found someone! Thanks to the app, dates are now happening."",""successTextInperson"":""Alex found someone! Thanks to chance meetings, dates are now happening."",""failureText"":""No matches stuck this month. Loneliness weighs even heavier now."",""successChoices"":[{""label"":""Go out occasionally"",""next"":""RANDOM"",""meta"":{""applyRelationship"":{""costLabel"":""Occasional date nights"",""monthlyCost"":25,""happyLabel"":""Shared connection"",""happinessBoost"":2,""frequency"":""occasional""},""clearDatingMethod"":true}},{""label"":""Go out frequently"",""next"":""RANDOM"",""meta"":{""applyRelationship"":{""costLabel"":""Frequent date nights"",""monthlyCost"":75,""happyLabel"":""Romantic whirlwind"",""happinessBoost"":4,""frequency"":""frequent""},""clearDatingMethod"":true}}],""failureChoices"":[{""label"":""Move on alone"",""next"":""RANDOM"",""immediate"":{""happiness"":-10},""meta"":{""clearDatingMethod"":true}},{""label"":""Hangout with a friend"",""next"":""RANDOM"",""immediate"":{""money"":-25,""happiness"":-8},""meta"":{""clearDatingMethod"":true}}]}"
r0q9,auxiliary,pendingRelationship,How often should Alex go out with this new partner?,,"{""choices"":[{""label"":""Keep it occasional"",""next"":""RANDOM"",""meta"":{""completePendingRelationship"":{""costLabel"":""Occasional outings"",""monthlyCost"":25,""happyLabel"":""Steady partnership"",""happinessBoost"":2,""frequency"":""occasional""}}},{""label"":""Dive in fully"",""next"":""RANDOM"",""meta"":{""completePendingRelationship"":{""costLabel"":""Frequent outings"",""monthlyCost"":75,""happyLabel"":""Intense partnership"",""happinessBoost"":4,""frequency"":""frequent""}}}]}"
h1k4,random,goodEvent,,,"{""dataSource"":""goodEvents""}"
j7m9,random,goodEvent,,,"{""dataSource"":""goodEvents""}"
u5w4,random,goodEvent,,,"{""dataSource"":""goodEvents""}"
v6x2,random,goodEvent,,,"{""dataSource"":""goodEvents""}"
k8n2,random,badEvent,,,"{""dataSource"":""badEvents""}"
l5r6,random,badEvent,,,"{""dataSource"":""badEvents""}"
m3s8,random,hobbyOffer,,,"{""dataSource"":""hobbyOffers""}"
n4t1,random,hobbyOffer,,,"{""dataSource"":""hobbyOffers""}"
w3b7,random,hobbyOffer,,,"{""dataSource"":""hobbyOffers""}"
p2v5,random,relationshipBreakup,Alex and their partner drift apart and decide to break up.,,"{""lossRange"":[3,9]}"
q8w3,random,relationshipInvite,Alex keeps running into someone at the climbing gym who wants to grab tea.,,"{""next"":""r0q9.html""}"
y2d5,random,relationshipInvite,A friend introduces Alex to a coworker who loves indie films and wants to meet.,,"{""next"":""r0q9.html""}"
s9y2,random,promotionOffer,Work offers Alex a team lead promotion worth {{raise}} more each month.,It comes with more responsibility and the risk of extra stress.,"{""stress"":""Team lead stress"",""raiseRange"":[50,200]}"
x4f8,random,promotionOffer,A supervisor wants Alex to run evening operations for {{raise}} extra.,It comes with more responsibility and the risk of extra stress.,"{""stress"":""Operations stress"",""raiseRange"":[50,200]}"
t4u7,random,hobbyVerification,{{hobbyName}} now requires ID verification to keep participating.,,{}
